ALEACION,Al - min,Al - max,Mg - min,Mg - max,Zn - min,Zn - max,Mn - min,Mn - max,Cu - min,Cu - max,Fe - min,Fe - max,Si - min,Si - max,Ni - min,Ni - max
A333 0,0,100,0.05,0.5,0,1,0,0.05,3,4,0,1,8,10,0,0.05
A333 1,0,100,0.1,0.5,0,1,0,0.05,3,4,0,0.8,8,10,0,0.05
A336 0,0,100,0.7,1.3,0,0.35,0,0.35,0.5,1.5,0,1.2,11,13,2,3
A336 1,0,100,0.8,1.3,0,0.35,0,0.35,0.5,1.5,0,0.9,11,13,2,3
A336 2,0,100,0.9,1.3,0,0.1,0,0.1,0.5,1.5,0,0.9,11,13,0,0.01
A337 0,0,100,0.3,0.5,0,0.03,0.5,0.8,3,3.5,0.8,1.2,9.5,10.5,1,1.5
A337 1,0,100,0.35,0.5,0,0.03,0.5,0.8,3,3.5,0.8,0.9,9.5,10.5,1,1.5
A338 0,0,100,0.8,1.2,0,0.01,0,0.01,2.8,3.2,0,0.2,9.5,10.5,1,1.5
A338 1,0,100,0.9,1.2,0,0.01,0,0.01,2.8,3.2,0,0.17,9.5,10.5,1,1.5
A339 0,0,100,0.5,1.5,0,1,0,0.5,1.5,3,0,1.2,11,13,0.5,1.5
A339 1,0,100,0.6,1.5,0,1,0,0.5,1.5,3,0,0.9,11,13,0.5,1.5
A343 0,0,100,0,0.1,1.2,2,0,0.5,0.5,0.9,0,1.2,6.7,7.7,0,0.01
A343 1,0,100,0,0.1,1.2,1.9,0,0.05,0.5,0.9,0.5,0.9,6.7,7.7,0,0.01
A354 0,0,100,0.4,0.6,0,0.1,0,0.1,1.6,2,0,0.2,8.6,9.4,0,0.01
A354 1,0,100,0.45,0.6,0,0.1,0,0.1,1.6,2,0,0.15,8.6,9.4,0,0.01
A355 0,0,100,0.4,0.6,0,0.35,0,0.5,1,1.5,0,0.6,4.5,5.5,0,0.01
A355 1,0,100,0.45,0.6,0,0.35,0,0.5,1,1.5,0,0.5,4.5,5.5,0,0.01
A355 2,0,100,0.5,0.6,0,0.05,0,0.05,1,1.5,0.14,0.25,4.5,5.5,0,0.01
A356 0,0,100,0.2,0.45,0,0.35,0,0.35,0,0.25,0,0.6,6.5,7.5,0,0.01
A356 1,0,100,0.25,0.45,0,0.35,0,0.35,0,0.25,0,0.5,6.5,7.5,0,0.01
A356 2,0,100,0.3,0.45,0,0.05,0,0.05,0,0.1,0.13,0.25,6.5,7.5,0,0.01
A357 0,0,100,0.45,0.6,0,0.05,0,0.03,0,0.05,0,0.15,6.5,7.5,0,0.01
A357 1,0,100,0.45,0.6,0,0.05,0,0.03,0,0.05,0,0.12,6.5,7.5,0,0.01
A358 0,0,100,0.4,0.6,0,0.2,0,0.2,0,0.2,0,0.3,7.6,8.6,0,0.01
A358 2,0,100,0.45,0.6,0,0.1,0,0.1,0,0.1,0,0.2,7.6,8.6,0,0.01
A359 0,0,100,0.5,0.7,0,0.1,0,0.1,0,0.2,0,0.2,8.5,9.5,0,0.01
A359 2,0,100,0.55,0.7,0,0.1,0,0.1,0,0.1,0,0.12,8.5,9.5,0,0.01
A360 0,0,100,0.4,0.6,0,0.5,0,0.35,0,0.6,0,2,9,10,0,0.5
A360 2,0,100,0.45,0.6,0,0.1,0,0.1,0,0.1,0.7,1.1,9,10,0,0.1
A361 0,0,100,0.4,0.6,0,0.5,0,0.25,0,0.5,0,1.1,9.5,10.5,0.2,0.3
A361 1,0,100,0.45,0.6,0,0.4,0,0.25,0,0.5,0,0.8,9.5,10.5,0.2,0.3
A362 0,0,100,0.5,0.7,0,0.03,0.5,0.8,0,0.2,0.8,1.2,9.5,10.5,0,0.01
A362 1,0,100,0.6,0.7,0,0.03,0.5,0.8,0,0.2,0.8,0.9,9.5,10.5,0,0.01
A363 0,0,100,0.15,0.4,3,4.5,0,0.01,2.5,3.5,0,1.1,4.5,6,0,0.25
A363 1,0,100,0.2,0.4,3,4.5,0,0.01,2.5,3.5,0,0.8,4.5,6,0,0.25
A364 0,0,100,0.2,0.4,0,0.15,0,0.1,0,0.2,0,1.5,7.5,9.5,0,0.15
A364 2,0,100,0.25,0.4,0,0.15,0,0.1,0,0.2,0.7,1.1,7.5,9.5,0,0.15
A365 0,0,100,0.1,0.5,0,0.07,0.5,0.8,0,0.03,0,0.15,9.5,11.5,0,0.01
A365 1,0,100,0.15,0.5,0,0.07,0.5,0.8,0,0.03,0,0.12,9.5,11.5,0,0.01
A369 0,0,100,0.25,0.45,0,1,0,0.35,0,0.5,0,1.3,11,12,0,0.05
A369 1,0,100,0.3,0.45,0,0.9,0,0.35,0,0.5,0,1,11,12,0,0.05
A380 0,0,100,0,0.1,0,3,0,0.5,3,4,0,2,7.5,9.5,0,0.5
A380 2,0,100,0,0.1,0,0.1,0,0.1,3,4,0.7,1.1,7.5,9.5,0,0.1
A381 0,0,100,0,0.13,0,3,0,0.5,3,4,0,1.3,9,10,0,0.01
A381 2,0,100,0,0.13,0,2.9,0,0.5,3,4,0.7,1,9,10,0,0.5
A383 0,0,100,0,0.1,0,3,0,0.5,2,3,0,1.3,9.5,11.5,0,0.3
A383 1,0,100,0,0.1,0,2.9,0,0.5,2,3,0,1,9.5,11.5,0,0.3
A383 2,0,100,0,0.1,0,0.1,0,0.1,2,3,0.6,1,9.5,11.5,0,0.1
A384 0,0,100,0,0.1,0,3,0,0.5,3,4.5,0,1.3,10.5,12,0,0.5
A384 1,0,100,0,0.1,0,2.9,0,0.5,3,4.5,0,1,10.5,12,0,0.5
A384 2,0,100,0,0.1,0,0.1,0,0.1,3,4.5,0.6,1,10.5,12,0,0.1
A385 0,0,100,0,0.3,0,3,0,0.5,2,4,0,2,11,13,0,0.5
A385 1,0,100,0,0.3,0,2.9,0,0.5,2,4,0,1.1,11,13,0,0.5
A390 0,0,100,0.45,0.65,0,0.1,0,0.1,4,5,0,1.3,16,18,0,0.01
A390 2,0,100,0.5,0.65,0,0.1,0,0.1,4,5,0.6,1,16,18,0,0.01
A392 0,0,100,0.8,1.2,0,0.5,0.2,0.6,0.4,0.8,0,1.5,18,20,0,0.5
A392 1,0,100,0.9,1.2,0,0.4,0.2,0.6,0.4,0.8,0,1.1,18,20,0,0.5
A393 0,0,100,0.7,1.3,0,0.1,0,0.1,0.7,1.1,0,1.3,21,23,2,2.5
A393 1,0,100,0.8,1.3,0,0.1,0,0.1,0.7,1.1,0,1,21,23,2,2.5
A393 2,0,100,0.8,1.3,0,0.1,0,0.1,0.7,1.1,0,0.8,21,23,2,2.5
